Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
9/30/2014,"City of Covina Police Department, Covina, CA 91728",Worker killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
9/30/2014,"Precision Fabricators Inc., Tulsa, OK 74127",Worker struck and killed by falling load when crane bolt broke.,Fatality,,,,,,,,,,,,,,
9/30/2014,"Wise Recycling East 1 Inc., Charlotte, NC 28216",Worker killed when forklift tipped over.,Fatality,,,,,,,,,,,,,,
9/29/2014,"All Star Metals, Brownsville, TX 78521",Worker fatally crushed between metal sections of vessel during dismantling.,Fatality,,,,,,,,,,,,,,
9/29/2014,"Central States Environmental LLC, Freeport, PA 15352",Worker killed in fall from bed of truck. ,Fatality,,,,,,,,,,,,,,
9/29/2014,"Mayflower RV, Mayflower, AR 72106",Worker killed when loader overturned.,Fatality,,,,,,,,,,,,,,
9/29/2014,"Philadelphia Zoo, Philadelphia, PA 19104",Worker fatally crushed  when golf cart fell off jack stands during maintenance.,Fatality,,,,,,,,,,,,,,
9/27/2014,"Lash Paving Company, Quaker City, OH 43773",Worker fatally crushed by tire compactor. ,Fatality,,,,,,,,,,,,,,
9/27/2014,"Pittman Construction Company, Conyers, GA 30013",Worker struck and killed by dump truck.,Fatality,,,,,,,,,,,,,,
9/26/2014,"Evergreen Lawn & Tree Care Inc., Spokane, WA 99203",Worker killed on fall from tree.,Fatality,,,,,,,,,,,,,,
9/26/2014,"Miranda Trucking, Hereford, TX 79045","Employee struck and killed by truck.
",Fatality,,,,,,,,,,,,,,
9/26/2014,"Redneck Services, Amarillo, TX 79102",Oil company worker caught and killed by drill blade.,Fatality,,,,,,,,,,,,,,
9/26/2014,"Santigo E. Monge, Lincoln University, PA 19352",Worker killed in fall from tree.,Fatality,,,,,,,,,,,,,,
9/25/2014,"Arends-Awe Inc., Winchester, IL 62694",Worker fatally crushed by combine.,Fatality,,,,,,,,,,,,,,
9/25/2014,"Brian Borde Contracting LLC, Quilcene, WA 98376                          ",Worker struck and killed by falling tree.,Fatality,,,,,,,,,,,,,,
9/25/2014,"Glenn Environmental, Louisville, KY 40299",Worker died after becoming caught in concrete opening of septic system.,Fatality,,,,,,,,,,,,,,
9/25/2014,"Infra-Metals Co., Tampa, FL 33619",Worker fatally crushed by steel beam that fell from forklift.,Fatality,,,,,,,,,,,,,,
9/25/2014,"Robyco Construction Inc., Kihei, HI 96753",Worker struck and killed by excavator carriage.,Fatality,,,,,,,,,,,,,,
9/25/2014,"U.S. Postal Service, New York, NY 10018",Worker washing windows killed in fall from lift.,Fatality,,,,,,,,,,,,,,
9/24/2014,"Asplundh Tree Expert Co., Saint Francisville, LA 70775",Worker preforming tree cutting operations killed in fall from  aerial lift.,Fatality,,,,,,,,,,,,,,
9/24/2014,"G Metal Partition Contractors Corp., Miami, FL 33127",Worker electrocuted by energized wires.,Fatality,,,,,,,,,,,,,,
9/24/2014,"Murphy Brothers Trucking and Construction, Arcadia, LA 71001",Worker struck and killed by train.,Fatality,,,,,,,,,,,,,,
9/24/2014,"Ring and Ring Amusements, Winnie, TX 77665",Worker struck and killed by steel plate that fell from carnival ride during construction.,Fatality,,,,,,,,,,,,,,
9/24/2014,"Vanguard Vacuum Trucks LLC, Bourg, LA 70343",Worker killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
