Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe
9/30/2013,"CAM Contractors Inc., Huntington Beach, CA 92649",Worker was electrocuted in concrete electrical vault.,Fatality
9/30/2013,"Cramer & Associates Inc., Cedar Rapids, IA 52404",Worker performing repairs on bridge killed when man lift basket pinned him against the bridge.,Fatality
9/30/2013,"Cross Creek Farms Inc., Shakopee, MN 55379",Worker was struck and killed by a horse being groomed. ,Fatality
9/30/2013,"Maher Terminals Inc., Elizabeth, NJ 07201",Worker struck and killed by truck.,Fatality
9/30/2013,"Reliable Tape Products, Vernon, CA 90058",Worker cleaning sump hole fell in and drowned.,Fatality
9/30/2013,"Skanska, Holbrook, AZ 86025",Worker died after fall from the deck of a bridge under construction.,Fatality
9/30/2013,"Super 8 Motel, Marion, IN 46952",Hotel worker fatally shot during robbery.,Fatality
9/30/2013,"Valley Logistics, Wilmington, DE 19810",Worker crushed by computer cabinet that fell from a delivery truck.,Fatality
9/29/2013,"Mega Construction Co Inc., Daphne, AL 36526",Worker died after a fall on construction site. ,Fatality
9/27/2013,"Affordable Homes Super Center Inc, Lafe, AR 72436",Worker struck and killed by an outrigger while lowering a manufactured home onto blocks.,Fatality
9/27/2013,"Bill Moen, Sole Proprietor, Tampa, FL 33664",Worker trimming a tree on a step ladder died after being struck by a tree limb and falling to the ground.,Fatality
9/27/2013,"B-Mack Wireless Inc., Indianapolis, IN 46219",Worker was crushed by a boom on crane being used to lift generator. ,Fatality
9/27/2013,"Bureau of Land Management, National Interagency Fire Center, Great Basin Smoke Jumpers, Glenns Ferry, ID 83623",Smokejumper died when his parachute canopy failed to deploy.,Fatality
9/27/2013,"Home Furniture Company, Lafayette, LA 70507",Worker died when the dock underneath the tow tractor he was operating suddenly collapsed.,Fatality
9/27/2013,"Klosterman Baking Company, College Corner, OH 45003",Worker died after being pinned between a truck and a dumpster when the truck rolled.,Fatality
9/27/2013,"Loram Maintenance of Way Inc., College Park, GA 30337",Worker crushed and killed by a light rail grinder train car.,Fatality
9/27/2013,"Robert Morey, Austin, TX 78732",Worker died after falling from the 2nd story framing level.,Fatality
9/26/2013,"ADS Logistic Services ? Gaffney LLC, Gaffney, SC 29340",Worker died after falling from a cherry picker that was struck by a truck.,Fatality
9/26/2013,"Iowa Erosion Control Inc., Liberty Center, IA 50166",Worker performing construction road flagger duties was struck and killed by a truck.  ,Fatality
9/26/2013,"Robertson Contractors Inc, Poplar Bluff, MO 63901",Equipment operator drowned when an excavator tipped and the cab became submerged in water.,Fatality
9/26/2013,"Tehama County at Long Ranch, Tehama, CA 96090",Worker died when caught between the hitch and trailer of a dump truck. ,Fatality
9/26/2013,"Terry Rimiller, Chicago, IL 60621",Worker died after falling from roof. ,Fatality
9/25/2013,"111 East Reistville RoadLantz Family Farm, Myerstown, PA 17067",Worker loading a mechanical harvester died when his leg got caught on a corn bale and pulled into the machine.,Fatality
