Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,
FY 2012,10/1/2011,2/21/2011,"Viking Coca Cola Bottling Company, St. Cloud, MN 56303",Worker at a soda bottling company was found dead inside a walk-in freezer.
FY 2012,10/1/2011,7/26/2011,"Calvin Crest Conference, Oakhurst, CA 93636",Rock climbing instructor died after falling from a 26-foot tower.
FY 2012,10/1/2011,8/22/2011,"20/20 Real Estate Review, Inc., Sahuarita, AZ 85629",Worker fell off a ladder.
FY 2012,10/1/2011,8/25/2011,"Unknown, Boulder City, NV 89006",Worker towing an airplane crashed into a building at an airport.
FY 2012,10/1/2011,8/28/2011,"Princeton First Aid & Rescue, Princeton, NJ 08540","Worker, attempting to rescue a trapped motorist in fast moving water, drowned after being separated from his tether."
FY 2012,10/1/2011,8/29/2011,"Mauna Loa Macadamia Nut Corporation, Keanu, HI 96749",Worker died when he struck a tree after crossing the center line on a private road.
FY 2012,10/1/2011,9/6/2011,"Bryan Shirk, Upper Arlington, OH 43221","Worker was trimming trees from a truck-mounted basket lift, and was killed after being thrown from the basket and falling nearly 30 feet to the ground."
FY 2012,10/1/2011,9/10/2011,"APER Construction, Port of Miami, FL 33132",Worker operating an excavator died when he was thrown forward in the cab and hit his head on the machine's support bar.
FY 2012,10/1/2011,9/19/2011,"KG Construction, Saltsburg, PA 15681",Worker moving an aluminum materials lift was killed when the lift touched an energized powerline.
FY 2012,10/1/2011,9/20/2011,"A-1 Tree and Landscape, Lansing, MI 48911","Worker cutting trees died after a falling branch struck him, causing him to fall 40 feet."
FY 2012,10/1/2011,9/20/2011,"Al and John, Inc., T/A Glen Rock Hams, Paterson, NJ 07503",Worker cleaning a meat mixer died when he fell into the machine.
FY 2012,10/1/2011,9/21/2011,"Gozip LLC, Hilo, HI 96720",One worker was killed and another worker was hospitalized after a zipline tower collapsed.
FY 2012,10/1/2011,9/22/2011,"Aloha Tree Experts, Kailua, HI 96734",Worker was killed when he fell 28 feet from a tree that fell over at its base.
FY 2012,10/1/2011,9/23/2011,"George Pagany Farms, West Sacramento, CA 95691",Field laborer died from possible heat illness.
FY 2012,10/1/2011,9/23/2011,"Witten Logging Co., Tehachapi, CA 93561",Logger cutting trees was struck and killed by a large falling limb.
FY 2012,10/1/2011,9/24/2011,"E &R Construction, Washington Boro, PA 17582",Worker died from head injuries when he slipped and fell 15 feet from a ladder.
FY 2012,10/1/2011,9/26/2011,"Demas Enterprises, Inc., Dallas, TX 55210",Worker who was cleaning while standing on the roof of a gondola lift died after striking his head and falling off the lift.
FY 2012,10/1/2011,9/26/2011,"GreenLeaf's Tree Service, Inc., Chelmsford, MA 01824",Worker performing tree removal activities died after falling 70 feet while climbing from a crane to the tree.
FY 2012,10/1/2011,9/26/2011,"Mohawk Industries, Orlando, FL 32819",Worker was found unresponsive on a warehouse floor.
FY 2012,10/1/2011,9/26/2011,"Murphy-Brown, LLC, Laurinburg, NC 28352",Worker trying to access an auger motor died after becoming entangled in the machine.
FY 2012,10/1/2011,9/27/2011,"Blooming Prairie Well Co., Blooming Prairie, MN 55917",Worker was killed after he was struck in head by a 35-pound weight that fell 30 feet from a broken cable.
FY 2012,10/1/2011,9/27/2011,"Monroe Drywall Construction, Panama City, FL 32405",Worker installing drywall was electrocuted when he touched a 480-volt wire.
FY 2012,10/1/2011,9/28/2011,"Performance Welding & Machine, Fresno, CA 93725",Worker was electrocuted while using a welder that was not grounded properly.
FY 2012,10/1/2011,9/28/2011,"R & R Construction, Inc., Westlake, LA 70669",Worker attempting to attach slings from a metal bar to a crane was electrocuted when he touched an energized bus bar.
FY 2012,10/1/2011,9/30/2011,"F & T Farms, Caruthers, CA 93609",Worker operating a farm vehicle was killed when he hit a gate and a metal pipe struck his head.
FY 2012,10/8/2011,8/12/2011,"Nicholas Cable Communications, Terre Haute, IN 47801",Worker discovered unconscious while using a trencher to install underground TV cable.
FY 2012,10/8/2011,9/19/2011,"The Indian Club, Irons, MI 49644",Worker suffered burns and died from asphyxiation after a storage facility fire.
FY 2012,10/8/2011,9/21/2011,"Livengood Excavators, Palmerton, PA 18071","Worker was killed when his dump truck overturned, rolled down a hill and landed on top of him."
