Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,10/02/10,07/06/10,"The Uni-Kool Partners Yuma, AZ  85354",Worker was backing a forklift up an incline.  Forklift fell backwards off loading dock onto operator who was not wearing seatbelt.  He died of a broken neck.
FY 2011,10/02/10,08/27/10,"Halcumb Air Conditioning & Refrigeration, Galveston, TX 77550",Worker was removing sheet metal air conditioning ductwork that cut into a 240-volt electrical line and was electrocuted.
FY 2011,10/02/10,09/14/10,"Octavio Mateos Raleigh, NC  27610",Worker was found unresponsive at the base of a 20-foot ladder. The probable cause of death was noted as a cervical neck fracture due to a fall.
FY 2011,10/02/10,09/17/10,"Alameda Tower LLC Los Angeles, CA 90017","Worker (security guard) was struck by tractor trailer and dragged, resulting in fatal injuries."
FY 2011,10/02/10,09/18/10,"Laducer House Moving, Belcourt, ND 58316",Worker was working underneath a house in the process of being moved and was crushed after the house collapsed.
FY 2011,10/02/10,09/22/10,"Dimensional Mills Inc., Hudson Falls, NY 12839",Worker fell 6 to 8 feet from height.
FY 2011,10/02/10,09/22/10,"Hendrix & Company, LLC Phoenix, AZ 85040","Worker was operating a powered industrial truck when the counterweight of an excavator caused the truck to rollover, crushing the worker's head."
FY 2011,10/02/10,09/22/10,"Varitech Commercial Services, Inc. Tucson, AZ 85711",Worker mounting exhaust blower motor fell 16 feet from ladder on a roof to the ground.
FY 2011,10/02/10,09/25/10,"Eric Nelson Enterprises, Inc. Orland, CA 95963",Worker suffered fatal injuries after being crushed under an elevated harvesting machine.  The support block had been removed after the repairs and the worker was crushed when he went to retrieve hand tools left underneath the machine.
FY 2011,10/02/10,09/26/10,"Thomas School of Horsemanship, Melville, NY 11747",Worker was crushed between golf cart and parked trailer.
FY 2011,10/02/10,09/27/10,"Larry Lang Excavating, Inc., Parkersburg, WV 26101","Worker was pouring concrete, fell forward and was caught by another worker. Hypertension and environmental heat stroke possible."
FY 2011,10/02/10,09/27/10,"Wenco Energy, Tulsa, OK 74146",Worker was struck by a two-ton object.
FY 2011,10/02/10,09/28/10,"Bryan Zehr Logging, Redfield, NY 13437",Worker was struck by a tree.
FY 2011,10/02/10,09/28/10,"Douglas County Agricultural Associates Alexandria, MN 56308","Worker at state fairgrounds was pushing trash with leg, fell and hit head on cement floor."
FY 2011,10/02/10,09/28/10,"Mechanical Technologies, El Paso, TX 79902",Worker was in the process of installing a thermostat line and was electrocuted.
FY 2011,10/02/10,09/29/10,"Art Walker Construction, Inc., Ocala, FL 34475","Worker had finished construction of a parking lot and said he was not feeling well.  He was found sitting in the truck and was taken to the hospital, possible heart attack."
FY 2011,10/02/10,09/29/10,"Pilkington North America Shelbyville, IN 46176",Worker suffered fatal injuries after getting pinned up under conveyor while doing maintenance work.
FY 2011,10/02/10,09/30/10,"Specialized Construction, Miami Beach, FL 33119","Worker was working from a suspension scaffold, using a 7-foot aluminum extension pole on a paint roller. Worker was electrocuted after contacting an overhead power line."
FY 2011,10/09/10,09/02/10,"Connecticut Department of Public Safety Middletown, CT  06457",State Police Trooper doing paperwork in his vehicle during a traffic stop was struck from behind by another vehicle traveling at a high rate of speed.
FY 2011,10/09/10,09/23/10,"Stonehedge Apartments Salt Lake City, UT  84107","Worker was cutting a tree limb from roof of 3-story apartment building when the limb broke, knocking the worker 29 feet to the lower level."
FY 2011,10/09/10,09/23/10,"Vargas General Engineering, LLC, Peoria, AZ 85381","Worker suffered fatal injuries when an excavator tipped over, pinning him."
FY 2011,10/09/10,09/24/10,"Kingsford Products Co., Inc. Burnside, KY  42519","Workers were using grinder and oxyacetylene torch to remove equipment from a conveyor system located above silos used to store charcoal briquettes.  A flash fire was ignited after sparks contacted a residual pile of charcoal dust, resulting in 1 fatality and 3 hospitalizations."
FY 2011,10/09/10,09/30/10,"Crescent Resources Charlotte, NC  28202","Two workers were inspecting waterfront property on a boat,when an unknown event led to their drowning."
FY 2011,10/09/10,10/01/10,"Chino Airport, Planes of Fame Air Museum Chino, CA  91710",Volunteer was crushed between two vehicles while loading equipment onto a flatbed trailer.
FY 2011,10/09/10,10/01/10,"Dixie Electric Buckeye, NM  88260",Worker was electrocuted while installing a pole to tie into overhead transmission lines.
FY 2011,10/09/10,10/01/10,"Nibbelink Masonry Construction Corp., Adelanto, CA  92301",Worker suffered fatal injuries after falling 20 feet from a scaffold.
FY 2011,10/09/10,10/01/10,"Noblesville City School, Noblesville, IN  46060",Maintenance worker received fatal injuries after being crushed under a garage door.
FY 2011,10/09/10,10/01/10,"Nutri-Ject, Hudson, IA  50643","Worker with head and upper torso inside a tanker truck loaded with 6000 pounds of sludge, fell into the tanker."
FY 2011,10/09/10,10/04/10,"Ortiz Lawn Maintenance Service, West Palm Beach, FL 33461",The worker trimming a tree at a private residence hit a power line and was electrocuted.
FY 2011,10/09/10,10/04/10,"Rays Tree Service, Middletown, OH 45042",The worker was working on the ground dragging cut tree brush. The pruner dropped a tree limb approximately 25 to 35 feet down striking the worker in the head.
FY 2011,10/09/10,10/05/10,"Legacy Contracting LP, Dallas, TX 75253",The worker fell 15 feet from a ladder while working to remove piping inside a concrete raw sewage digester.
FY 2011,10/09/10,10/05/10,"Sutter Roofing Company, Sarasota, FL 34232",The worker fell through a roof.
FY 2011,10/09/10,10/06/10,"Osage Valley Electric Coop, Rich Hill, MO 64779","The worker was using a chainsaw to cut a tree trunk. As the trunk was cut, it split and sprang back striking the worker fatally."
FY 2011,10/09/10,10/06/10,"Reliable Tree and Mulch, Sugarcreek Twp, OH 45370",A tree trimmer died from a 90-foot fall.
FY 2011,10/09/10,10/06/10,"Team Industrial Services, Chalmette, LA, 70043","The worker was working under supplied air with a helper inside a hydrogen sulfide unit. The worker was leaving the job, and slumped over for unknown reasons."
FY 2011,10/09/10,10/06/10,"The Renaissance Project, Ellenville, NY 12428",The worker was stabbed and killed by a patient.
FY 2011,10/09/10,10/07/10,"Mt. Prospect Public Library, Mt Prospect, IL 60056",The worker was found dead in the men's restroom from what appeared to be a heart attack.
FY 2011,10/09/10,10/07/10,"Tikal Construction and Roofing, Elk Grove Village, IL 60007","The worker was working on the roof, fell through a skylight and landed on a concrete floor."
FY 2011,10/09/10,10/08/10,"D.R. Services, Convent, LA 70723",The worker was climbing a ladder on a scaffold to start dismantling it when he fell from the ladder approximately 42 feet to the ground.
FY 2011,10/09/10,10/08/10,"Domino Window Cleaning, New York, NY 10013",The worker was cleaning the 4th floor window from a ledge without fall protection and fell.
FY 2011,10/09/10,10/08/10,"Miquel Nava, Johns Creek, GA 30097","The worker was carrying shingles to the roof using a ladder. The worker lost his footing, slipped off the ladder and struck his head on the ground."
FY 2011,10/09/10,10/08/10,"Wanzek Construction, White, SD 57383",The worker was working in a windmill farm construction staging area and was struck and killed by a truck.
FY 2011,10/09/10,10/09/10,"Quality Steel Corporation, Cleveland, MS 38732","The worker was moving materials using a crane. The crane tipped over, and the worker was ejected from the cab of the crane. The crane ran over and crushed the worker."
FY 2011,10/16/10,06/26/10,"JBS Auto Parts, Inc. Britt, IA  50423",Worker suffered fatal injuries when support gave way and he was crushed under boat and trailer.
FY 2011,10/16/10,10/06/10,"Mountain Aire Heating & Air Conditioning, Bridgeport, OH 43912","The worker was working in a private home, the resident of the home heard a noise and found worker. The worker never regained consciousness."
